iter	RMSE
0	1724948.439
1	1694813.673
2	1667318.322
3	1641343.987
4	1617195.779
5	1589532.389
6	1565804.209
7	1544539.926
8	1519789.524
9	1498300.939
10	1477013.65
11	1456767.417
12	1435616.479
13	1413955.982
14	1395764.686
15	1379265.664
16	1362825.799
17	1345036.872
18	1329629.535
19	1315477.92
20	1302490.386
21	1290044.715
22	1274856.423
23	1264406.601
24	1251835.522
25	1238579.165
26	1225384.685
27	1213686.637
28	1203437.194
29	1191959.023
30	1181217.832
31	1171247.717
32	1161863.808
33	1151455.424
34	1141469.39
35	1132400.324
36	1126304.861
37	1119339.678
38	1112500.103
39	1103253.316
40	1094473.93
41	1086261.907
42	1077591.091
43	1071692.331
44	1066391.651
45	1057934.93
46	1056584.132
47	1050558.462
48	1043331.388
49	1037103.516
50	1031979.663
51	1026780.108
52	1021750.983
53	1016806.665
54	1011775.801
55	1007378.737
56	1000986.83
57	995332.9019
58	991121.178
59	987387.3292
60	984048.9408
61	978293.1491
62	972433.4123
63	967366.45
64	961758.7372
65	958638.9003
66	956553.9734
67	951908.0997
68	950357.8755
69	947062.7568
70	944954.1194
71	940133.0774
72	936819.1301
73	932788.3373
74	929305.0911
75	925977.07
76	923360.7391
77	920122.0057
78	918465.4266
79	915227.5541
80	912218.0764
81	908684.3774
82	905239.4998
83	901581.3642
84	897513.0061
85	895132.3604
86	893309.7011
87	890202.1934
88	887758.1458
89	884348.297
90	881244.4199
91	880116.9912
92	878111.0691
93	876557.0523
94	873198.691
95	872530.4717
96	870416.6053
97	868550.1472
98	866624.3278
99	865701.0383
100	862351.2952
101	859193.8588
102	858278.4257
103	855279.4068
104	852248.158
105	850684.7555
106	848031.3118
107	846378.1821
108	843796.9625
109	841819.9381
110	839314.9668
111	837249.4931
112	836208.218
113	835844.4767
114	832886.913
115	829983.4843
116	828593.044
117	827845.6688
118	825908.3671
119	824144.4871
120	822669.3166
121	820556.0281
122	819478.7592
123	818402.8185
124	817297.1952
125	815716.9783
126	813154.5381
127	812500.677
128	810319.4944
129	806808.2849
130	806174.9584
131	803506.8041
132	800844.051
133	799677.3241
134	799386.6439
135	799126.9573
136	798513.3447
137	795828.5185
138	794631.55
139	792722.7967
140	791235.5929
141	789584.8259
142	788477.186
143	786712.6298
144	786394.4821
145	785148.0381
146	783768.2559
147	781994.3521
148	781603.2877
149	779441.9873
150	778954.1072
151	777545.9772
152	776066.9896
153	773411.5821
154	771057.2425
155	770272.9092
156	769409.557
157	768829.242
158	767981.2748
159	767793.1947
160	766309.6591
161	764408.4217
162	762867.0293
163	760461.0175
164	759764.8227
165	757634.7164
166	757508.6588
167	755573.0006
168	755394.6866
169	754705.8711
170	754116.139
171	752428.4958
172	750905.0199
173	749833.9495
174	748791.422
175	747039.4532
176	745984.0826
177	744595.438
178	743092.1695
179	740556.8419
180	739500.5798
181	737941.2948
182	737192.7093
183	734778.9757
184	733953.7949
185	733785.7397
186	732449.9943
187	730730.2615
188	729273.7754
189	728422.2756
190	727125.6772
191	725859.5359
192	723685.8681
193	722486.5044
194	721316.12
195	720691.178
196	719049.9355
197	717984.8967
198	716390.3381
199	715412.5625
200	713982.2313
201	712494.1647
202	711515.6141
203	710392.3191
204	709759.8995
205	708698.7831
206	706820.9266
207	705768.5531
208	703887.8696
209	702131.9651
210	700542.0844
211	698755.598
212	697726.2706
213	696162.6817
214	695260.3963
215	693793.3038
216	692519.0963
217	691757.2508
218	690895.3188
219	689762.6888
220	687622.4268
221	685606.1078
222	684516.1247
223	682827.7108
224	682602.9533
225	680703.8146
226	679608.6486
227	677582.3664
228	676717.8393
229	675506.5999
230	674168.3097
231	672152.8711
232	671563.3296
233	669747.9485
234	668219.2006
235	666900.7243
236	665769.9786
237	664164.1929
238	663616.2596
239	662326.7773
240	660527.0228
241	659351.2038
242	657290.027
243	656513.911
244	656047.5753
245	655723.9339
246	655219.496
247	654132.3451
248	653399.5206
249	652081.7025
250	650857.6478
251	650549.5534
252	650079.1506
253	649028.2557
254	648222.4356
255	647962.1905
256	647199.7693
257	646288.3298
258	646009.7623
259	644508.2659
260	643544.902
261	642863.0665
262	641817.4888
263	641558.1826
264	641215.7791
265	640177.8504
266	639341.5433
267	638649.5879
268	637899.827
269	636908.7591
270	635503.3427
271	635010.5286
272	633378.7514
273	633215.0326
274	632751.6528
275	632541.0164
276	631940.2832
277	631723.453
278	630933.811
279	630494.9204
280	629503.8332
281	628639.3965
282	627847.0684
283	626981.6531
284	626188.1183
285	625941.8585
286	625432.4222
287	625027.7428
288	624657.0813
289	624191.4234
290	622925.2992
291	622143.5125
292	622017.0429
293	621365.2252
294	620301.1567
295	619403.9533
296	619334.1582
297	618645.0482
298	618435.0311
299	617011.1838
300	616942.0971
301	616022.7449
302	614785.015
303	614080.4728
304	612813.8551
305	612118.5599
306	612024.0897
307	611231.8056
308	610662.2399
309	609460.8777
310	609076.4843
311	609037.1164
312	608398.9054
313	607071.1613
314	606996.1675
315	605551.2155
316	605221.6146
317	605180.8343
318	604758.2441
319	604543.5137
320	603396.1405
321	602994.8518
322	602581.0654
323	601831.5975
324	600100.7018
325	599179.674
326	598608.2563
327	598362.726
328	597274.8843
329	596797.8283
330	596739.5054
331	596297.5646
332	595599.5106
