iter	Passed	Remaining
0	52	52608
1	53	26653
2	54	18023
3	54	13567
4	55	10993
5	55	9271
6	56	8036
7	57	7113
8	59	6503
9	59	5913
10	59	5391
11	60	4993
12	61	4665
13	62	4383
14	63	4164
15	64	3948
16	64	3750
17	65	3573
18	66	3416
19	66	3277
20	67	3153
21	68	3035
22	68	2929
23	69	2815
24	69	2728
25	70	2643
26	71	2566
27	71	2495
28	72	2427
29	73	2364
30	73	2306
31	74	2251
32	75	2199
33	75	2150
34	76	2104
35	76	2061
36	77	2013
37	77	1973
38	78	1936
39	79	1902
40	79	1869
41	81	1857
42	82	1827
43	82	1798
44	83	1769
45	84	1742
46	84	1705
47	84	1681
48	85	1658
49	86	1634
50	86	1612
51	87	1589
52	87	1568
53	88	1549
54	89	1530
55	89	1512
56	90	1495
57	90	1477
58	91	1457
59	91	1440
60	92	1419
61	92	1404
62	93	1389
63	94	1375
64	94	1362
65	95	1349
66	95	1333
67	96	1320
68	96	1302
69	97	1290
70	97	1276
71	98	1266
72	99	1258
73	99	1249
74	100	1241
75	101	1231
76	101	1222
77	102	1212
78	102	1199
79	103	1190
80	104	1180
81	104	1171
82	105	1163
83	105	1154
84	106	1146
85	106	1135
86	107	1124
87	107	1117
88	108	1110
89	109	1104
90	109	1097
91	110	1090
92	111	1083
93	111	1077
94	112	1070
95	112	1061
96	113	1054
97	113	1048
98	114	1042
99	114	1034
100	115	1028
101	116	1022
102	116	1014
103	117	1009
104	117	1003
105	118	997
106	118	992
107	119	988
108	120	984
109	121	979
110	121	974
111	122	969
112	122	964
113	123	958
114	123	953
115	124	948
116	125	944
117	125	939
118	126	934
119	126	930
120	128	930
121	128	926
122	129	922
123	130	918
124	130	914
125	131	910
126	131	906
127	132	899
128	132	895
129	133	891
130	133	886
131	134	883
132	134	879
133	135	876
134	135	869
135	135	863
136	136	860
137	137	857
138	137	854
139	138	851
140	139	848
141	139	845
142	140	842
143	141	838
144	141	833
145	141	829
146	142	827
147	143	825
148	143	820
149	144	819
150	145	816
151	146	814
152	146	812
153	147	809
154	148	807
155	148	803
156	149	800
157	149	798
158	150	797
159	150	792
160	151	789
161	152	788
162	153	785
163	153	783
164	154	781
165	155	779
166	155	775
167	156	773
168	156	769
169	157	768
170	157	765
171	158	763
172	159	762
173	160	760
174	161	760
175	161	758
176	162	755
177	163	753
178	163	751
179	164	749
180	165	747
181	165	745
182	166	743
183	167	741
184	167	739
185	168	735
186	169	735
187	169	734
188	170	732
189	171	729
190	171	727
191	172	725
192	172	723
193	173	721
194	174	719
195	174	716
196	175	714
197	175	712
198	176	710
199	177	708
200	177	706
201	178	704
202	179	703
203	179	701
204	180	700
205	181	698
206	181	696
207	182	694
208	183	693
209	183	691
210	184	689
211	185	688
212	185	686
213	186	684
214	187	682
215	187	681
216	188	679
217	188	677
218	189	675
219	190	674
220	190	673
221	191	671
222	192	670
223	192	668
224	193	666
225	194	665
226	195	664
227	195	662
228	196	661
229	196	659
230	197	657
231	198	656
232	198	655
233	199	653
234	200	652
235	201	650
236	201	649
237	202	647
238	202	646
239	203	644
240	204	643
241	204	641
242	205	639
243	205	638
244	206	636
245	207	635
246	207	633
247	208	632
248	209	630
249	210	630
250	210	629
251	211	627
252	212	626
253	212	624
254	213	623
255	214	622
256	214	620
257	215	619
258	215	617
259	216	615
260	217	614
261	217	613
262	218	611
263	218	609
264	219	608
